dataset_protocol,method,beta,seed,threshold_analysis,f1,pr_auc,roc_auc,fpr,precision,recall,false_positives_per_10000_benign,threshold
CICIoT2023_R1,CB-Score,0.8,11,method_specific,0.9189355994967598,0.98699866311452,0.9575421720129054,0.054475748930099856,0.9793894417271041,0.8655110223427882,544.7574893009986,0.33
CICIoT2023_R1,CB-Score,0.8,11,shared_full_threshold,0.8856293787561842,0.98699866311452,0.9575421720129054,0.0014265335235378032,0.9994004908481181,0.7951140987613838,14.265335235378032,0.58
CICIoT2023_R1,CB-Score,0.8,777,fixed_0.5,0.8898228115659627,0.9880312275290253,0.9608506029725292,0.006151925820256776,0.9974455324583974,0.8031628683429968,61.51925820256776,0.5
CICIoT2023_R1,CB-Score,0.8,777,method_specific,0.9199033931187394,0.9880312275290253,0.9608506029725292,0.04943830242510699,0.9812649930736224,0.8657644095333205,494.3830242510699,0.3
CICIoT2023_R1,CB-Score,0.8,777,shared_full_threshold,0.8870628385878299,0.9880312275290253,0.9608506029725292,0.003878388017118402,0.9983778038820831,0.7980802194034967,38.78388017118402,0.54
CICIoT2023_R1,CB-Score,1.0,9001,fixed_0.5,0.8846559615879847,0.9884254394352122,0.9623898973972179,0.0018277460770328104,0.9992305960066056,0.7936533961336095,18.2774607703281,0.5
CICIoT2023_R1,CB-Score,1.0,9001,method_specific,0.9191617004055008,0.9884254394352122,0.9623898973972179,0.04506954350927247,0.9828428876896447,0.8632305376279978,450.69543509272467,0.25
CICIoT2023_R1,CB-Score,1.0,9001,shared_full_threshold,0.8825992491280062,0.9884254394352122,0.9623898973972179,0.0010699001426533524,0.9995474771853081,0.7901506908527224,10.699001426533524,0.62
CICIoT2023_R1,CB-Score,1.0,2026,fixed_0.5,0.9049318045442014,0.9869668689932269,0.9570368733937518,0.01925820256776034,0.99231740499013,0.8316912849711586,192.5820256776034,0.5
CICIoT2023_R1,CB-Score,1.0,2026,method_specific,0.9189017867754843,0.9869668689932269,0.9570368733937518,0.05032988587731812,0.9809013093345063,0.8642738966478365,503.29885877318117,0.39
CICIoT2023_R1,CB-Score,1.0,2026,shared_full_threshold,0.9218028098186504,0.9869668689932269,0.9570368733937518,0.0677157631954351,0.9747577978297356,0.8743050483671432,677.1576319543509,0.36
CICIoT2023_R1,Full-Contextual,Full,2718,fixed_0.5,0.9266556560980715,0.9868939394727971,0.9569609503936475,0.09459700427960058,0.9657056047579029,0.8906410695920466,945.9700427960057,0.5
CICIoT2023_R1,Full-Contextual,Full,2718,method_specific,0.9151317992632636,0.9868939394727971,0.9569609503936475,0.04190442225392297,0.983883964544722,0.8553606295926428,419.0442225392297,0.56
CICIoT2023_R1,Full-Contextual,Full,2718,shared_full_threshold,0.9151317992632636,0.9868939394727971,0.9569609503936475,0.04190442225392297,0.983883964544722,0.8553606295926428,419.0442225392297,0.56
CICIDS2017_COVERAGE_R1,CB-Score,0.8,123,fixed_0.5,0.0034842053034897184,0.17722491645406652,0.3684368916203681,0.0024097703369234925,0.18308227114716108,0.0017588387211684032,24.097703369234925,0.5
CICIDS2017_COVERAGE_R1,CB-Score,0.8,123,method_specific,0.0031833053320364313,0.17722491645406652,0.3684368916203681,0.0016953845207291522,0.225,0.0016029922522041143,16.953845207291522,0.66
CICIDS2017_COVERAGE_R1,CB-Score,0.8,123,shared_full_threshold,0.0028390502489713987,0.17722491645406652,0.3684368916203681,0.0007212220441005062,0.3775811209439528,0.0014248820019592127,7.212220441005062,0.77
