dataset_protocol,beta,endpoint,rank,method,value
CICIDS2017_COVERAGE_R1,1.0,comm_selected_uplink_mean,5,Historical-DoubleCost,11815658.6
CICIDS2017_COVERAGE_R1,1.0,comm_selected_uplink_mean,6,Oracle-Score-Exact,11815658.6
CICIDS2017_COVERAGE_R1,1.0,comm_selected_uplink_mean,7,Cost-Only,17411643.2
CICIDS2017_COVERAGE_R1,1.0,comm_selected_uplink_mean,8,Random-Budget,17411643.2
CICIDS2017_COVERAGE_R1,1.0,comm_E2E_broadcast_mean,1,Oort-Style-Adapted,12844646.8
CICIDS2017_COVERAGE_R1,1.0,comm_E2E_broadcast_mean,2,Utility-Cost-Ratio,12844646.8
CICIDS2017_COVERAGE_R1,1.0,comm_E2E_broadcast_mean,3,Utility-Only,12844646.8
CICIDS2017_COVERAGE_R1,1.0,comm_E2E_broadcast_mean,4,CB-Score,13889200.3
CICIDS2017_COVERAGE_R1,1.0,comm_E2E_broadcast_mean,5,Historical-DoubleCost,13889200.3
CICIDS2017_COVERAGE_R1,1.0,comm_E2E_broadcast_mean,6,Oracle-Score-Exact,13889200.3
CICIDS2017_COVERAGE_R1,1.0,comm_E2E_broadcast_mean,7,Random-Budget,19483323.8
CICIDS2017_COVERAGE_R1,1.0,comm_E2E_broadcast_mean,8,Cost-Only,19485723.8
CICIoT2023_R1,0.1,metric_f1_mean,1,Utility-Cost-Ratio,0.8717202951386951
CICIoT2023_R1,0.1,metric_f1_mean,2,Utility-Only,0.871456305997958
CICIoT2023_R1,0.1,metric_f1_mean,3,CB-Score,0.8708963462071168
CICIoT2023_R1,0.1,metric_f1_mean,4,Oracle-Score-Exact,0.8708963462071168
CICIoT2023_R1,0.1,metric_f1_mean,5,Historical-DoubleCost,0.870853874721687
CICIoT2023_R1,0.1,metric_f1_mean,6,Random-Budget,0.8648443374599721
CICIoT2023_R1,0.1,metric_f1_mean,7,Cost-Only,0.8620910313670657
CICIoT2023_R1,0.1,metric_f1_mean,8,Oort-Style-Adapted,0.8613732134876146
CICIoT2023_R1,0.1,metric_pr_auc_mean,1,Utility-Cost-Ratio,0.967294846206651
CICIoT2023_R1,0.1,metric_pr_auc_mean,2,Utility-Only,0.9672642914615805
CICIoT2023_R1,0.1,metric_pr_auc_mean,3,Historical-DoubleCost,0.9665257702151253
CICIoT2023_R1,0.1,metric_pr_auc_mean,4,CB-Score,0.9665113571292596
CICIoT2023_R1,0.1,metric_pr_auc_mean,5,Oracle-Score-Exact,0.9665113571292596
CICIoT2023_R1,0.1,metric_pr_auc_mean,6,Random-Budget,0.9606542175208078
CICIoT2023_R1,0.1,metric_pr_auc_mean,7,Cost-Only,0.9603586346543945
CICIoT2023_R1,0.1,metric_pr_auc_mean,8,Oort-Style-Adapted,0.9508947944153028
CICIoT2023_R1,0.1,metric_fpr_mean,1,Historical-DoubleCost,0.06781383737517832
CICIoT2023_R1,0.1,metric_fpr_mean,2,CB-Score,0.06811251783166904
CICIoT2023_R1,0.1,metric_fpr_mean,3,Oracle-Score-Exact,0.06811251783166904
CICIoT2023_R1,0.1,metric_fpr_mean,4,Utility-Only,0.06838890870185449
CICIoT2023_R1,0.1,metric_fpr_mean,5,Utility-Cost-Ratio,0.06949893009985735
CICIoT2023_R1,0.1,metric_fpr_mean,6,Cost-Only,0.145751604850214
CICIoT2023_R1,0.1,metric_fpr_mean,7,Oort-Style-Adapted,0.16017742510699
CICIoT2023_R1,0.1,metric_fpr_mean,8,Random-Budget,0.17676979315263908
CICIoT2023_R1,0.1,comm_selected_uplink_mean,1,Utility-Only,742117.7
