dataset_protocol,beta,method,endpoint,fraction_of_full_final,n_seeds,reached_seeds,reached_fraction,mean_E2E_broadcast_bytes_when_reached,mean_round_when_reached,mean_target_value
CICIDS2017_COVERAGE_R1,0.8,Full-Contextual,PR_AUC,0.95,10,10,1.0,2409103.2,2.5,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.8,Historical-DoubleCost,F1,0.9,10,10,1.0,989222.9,1.0,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.8,Historical-DoubleCost,F1,0.95,10,10,1.0,1604183.6,2.9,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.8,Historical-DoubleCost,PR_AUC,0.9,10,10,1.0,650342.2,0.4,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.8,Historical-DoubleCost,PR_AUC,0.95,10,10,1.0,1647482.6,2.6,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.8,Oort-Style-Adapted,F1,0.9,10,10,1.0,1110775.0,1.4,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.8,Oort-Style-Adapted,F1,0.95,10,10,1.0,1110775.0,1.4,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.8,Oort-Style-Adapted,PR_AUC,0.9,10,10,1.0,720271.7,0.6,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.8,Oort-Style-Adapted,PR_AUC,0.95,10,10,1.0,1892849.4,3.7,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.8,Oracle-Score-Exact,F1,0.9,10,10,1.0,989222.9,1.0,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.8,Oracle-Score-Exact,F1,0.95,10,10,1.0,1604183.6,2.9,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.8,Oracle-Score-Exact,PR_AUC,0.9,10,10,1.0,650342.2,0.4,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.8,Oracle-Score-Exact,PR_AUC,0.95,10,10,1.0,1647482.6,2.6,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.8,Random-Budget,F1,0.9,10,10,1.0,2317986.1,3.2,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.8,Random-Budget,F1,0.95,10,10,1.0,2586669.0,3.7,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.8,Random-Budget,PR_AUC,0.9,10,10,1.0,1155274.0,1.2,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.8,Random-Budget,PR_AUC,0.95,10,10,1.0,2009728.3,2.9,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.8,Utility-Cost-Ratio,F1,0.9,10,10,1.0,662574.4,0.4,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.8,Utility-Cost-Ratio,F1,0.95,10,10,1.0,815222.3,0.8,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.8,Utility-Cost-Ratio,PR_AUC,0.9,10,10,1.0,758439.7,0.6,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.8,Utility-Cost-Ratio,PR_AUC,0.95,10,10,1.0,1892873.6,3.8,0.031642338494102175
CICIDS2017_COVERAGE_R1,0.8,Utility-Only,F1,0.9,10,10,1.0,662574.4,0.4,0.00045667459832632204
CICIDS2017_COVERAGE_R1,0.8,Utility-Only,F1,0.95,10,10,1.0,815222.3,0.8,0.000482045409344451
CICIDS2017_COVERAGE_R1,0.8,Utility-Only,PR_AUC,0.9,10,10,1.0,758439.7,0.6,0.029976952257570483
CICIDS2017_COVERAGE_R1,0.8,Utility-Only,PR_AUC,0.95,10,10,1.0,1892873.6,3.8,0.031642338494102175
CICIDS2017_COVERAGE_R1,1.0,CB-Score,F1,0.9,10,10,1.0,1467045.9,1.9,0.00045667459832632204
CICIDS2017_COVERAGE_R1,1.0,CB-Score,F1,0.95,10,10,1.0,1467045.9,1.9,0.000482045409344451
CICIDS2017_COVERAGE_R1,1.0,CB-Score,PR_AUC,0.9,10,10,1.0,738668.9,0.4,0.029976952257570483
CICIDS2017_COVERAGE_R1,1.0,CB-Score,PR_AUC,0.95,10,10,1.0,846729.9,0.7,0.031642338494102175
CICIDS2017_COVERAGE_R1,1.0,Cost-Only,F1,0.9,10,10,1.0,2375841.6,2.5,0.00045667459832632204
CICIDS2017_COVERAGE_R1,1.0,Cost-Only,F1,0.95,10,10,1.0,3197990.8,3.7,0.000482045409344451
CICIDS2017_COVERAGE_R1,1.0,Cost-Only,PR_AUC,0.9,10,10,1.0,1227717.5,0.9,0.029976952257570483
CICIDS2017_COVERAGE_R1,1.0,Cost-Only,PR_AUC,0.95,10,10,1.0,2658176.2,3.2,0.031642338494102175
CICIDS2017_COVERAGE_R1,1.0,Full-Contextual,F1,0.9,10,10,1.0,3051563.0,3.4,0.00045667459832632204
CICIDS2017_COVERAGE_R1,1.0,Full-Contextual,F1,0.95,10,10,1.0,3872692.2,4.6,0.000482045409344451
CICIDS2017_COVERAGE_R1,1.0,Full-Contextual,PR_AUC,0.9,10,10,1.0,697578.7,0.0,0.029976952257570483
CICIDS2017_COVERAGE_R1,1.0,Full-Contextual,PR_AUC,0.95,10,10,1.0,2409103.2,2.5,0.031642338494102175
CICIDS2017_COVERAGE_R1,1.0,Historical-DoubleCost,F1,0.9,10,10,1.0,1467045.9,1.9,0.00045667459832632204
CICIDS2017_COVERAGE_R1,1.0,Historical-DoubleCost,F1,0.95,10,10,1.0,1467045.9,1.9,0.000482045409344451
CICIDS2017_COVERAGE_R1,1.0,Historical-DoubleCost,PR_AUC,0.9,10,10,1.0,738668.9,0.4,0.029976952257570483
