dataset_protocol,beta,method,endpoint,n_seeds,normalized_auc_mean,normalized_auc_sd,end_value_mean
CICIoT2023_R1,0.1,Historical-DoubleCost,validation_FPR,10,0.17957958774549243,0.23213769531704972,0.21698178932030618
CICIoT2023_R1,0.1,Historical-DoubleCost,validation_PR_AUC,10,0.9710415599116435,0.061793168049220026,0.9732776466927353
CICIoT2023_R1,0.1,Oort-Style-Adapted,validation_F1,10,0.9115115635062782,0.0481619191716013,0.9101603608574285
CICIoT2023_R1,0.1,Oort-Style-Adapted,validation_FPR,10,0.1659033247628281,0.23705124226948582,0.1569897211741351
CICIoT2023_R1,0.1,Oort-Style-Adapted,validation_PR_AUC,10,0.9646581701989061,0.06436648528473246,0.9618016025555881
CICIoT2023_R1,0.1,Oracle-Score-Exact,validation_F1,10,0.9239009574829852,0.04378538133454334,0.9242902272559502
CICIoT2023_R1,0.1,Oracle-Score-Exact,validation_FPR,10,0.1805581885130822,0.23203541792803786,0.2220845856029782
CICIoT2023_R1,0.1,Oracle-Score-Exact,validation_PR_AUC,10,0.9710413697058443,0.06179309163334869,0.9732691762541775
CICIoT2023_R1,0.1,Random-Budget,validation_F1,10,0.9064449026775451,0.04175857012194811,0.9072850265846777
CICIoT2023_R1,0.1,Random-Budget,validation_FPR,10,0.41519881982282175,0.26942908280595246,0.4084059496969463
CICIoT2023_R1,0.1,Random-Budget,validation_PR_AUC,10,0.9695186548873886,0.06130217692989466,0.968880373134413
CICIoT2023_R1,0.1,Utility-Cost-Ratio,validation_F1,10,0.9200446584838623,0.0433344443309359,0.9195168604780686
CICIoT2023_R1,0.1,Utility-Cost-Ratio,validation_FPR,10,0.14472408981016668,0.22460427082014423,0.13638819309624062
CICIoT2023_R1,0.1,Utility-Cost-Ratio,validation_PR_AUC,10,0.9727076658157765,0.06211110211476624,0.9735023971247752
CICIoT2023_R1,0.1,Utility-Only,validation_F1,10,0.9200609721768483,0.043342720625009164,0.9189589022670632
CICIoT2023_R1,0.1,Utility-Only,validation_FPR,10,0.14393641423879394,0.22503786844620374,0.1328297978244062
CICIoT2023_R1,0.1,Utility-Only,validation_PR_AUC,10,0.9727149816604462,0.06211374445054205,0.9735612133842155
CICIoT2023_R1,0.2,CB-Score,validation_F1,10,0.9222815654612087,0.014705461024610568,0.9271898731106405
CICIoT2023_R1,0.2,CB-Score,validation_FPR,10,0.09158739614661611,0.1200273760222226,0.08523840012218223
CICIoT2023_R1,0.2,CB-Score,validation_PR_AUC,10,0.9902153272620109,0.0046748911415529565,0.9886181467206941
CICIoT2023_R1,0.2,Cost-Only,validation_F1,10,0.8992206146299817,0.03355607124129879,0.8972684712698968
CICIoT2023_R1,0.2,Cost-Only,validation_FPR,10,0.5741392970617311,0.3502187012106565,0.6281293165545461
CICIoT2023_R1,0.2,Cost-Only,validation_PR_AUC,10,0.9901446238897088,0.0037194524202404386,0.9925831736971233
CICIoT2023_R1,0.2,Full-Contextual,validation_F1,10,0.9391532340019144,0.006405960210972495,0.947627519045801
CICIoT2023_R1,0.2,Full-Contextual,validation_FPR,10,0.10746723398114504,0.08419183610475577,0.07027352039173704
CICIoT2023_R1,0.2,Full-Contextual,validation_PR_AUC,10,0.9845060920203121,0.00806935271112655,0.992847319685852
CICIoT2023_R1,0.2,Historical-DoubleCost,validation_F1,10,0.9223473276167933,0.012453770660213437,0.9318879394416729
CICIoT2023_R1,0.2,Historical-DoubleCost,validation_FPR,10,0.08594951197631745,0.0951288918742429,0.03994566071541524
CICIoT2023_R1,0.2,Historical-DoubleCost,validation_PR_AUC,10,0.9888898459593005,0.008593218270966197,0.9919385447726496
CICIoT2023_R1,0.2,Oort-Style-Adapted,validation_F1,10,0.9258249016970888,0.012097413379632983,0.9362388255284249
CICIoT2023_R1,0.2,Oort-Style-Adapted,validation_FPR,10,0.033256254184154954,0.04312663501316241,0.02882074333897497
CICIoT2023_R1,0.2,Oort-Style-Adapted,validation_PR_AUC,10,0.9901308940208644,0.003801321940587856,0.9915949256497228
CICIoT2023_R1,0.2,Oracle-Score-Exact,validation_F1,10,0.9214490566778324,0.016713855916782608,0.935414531503104
