phase,cell_id,dataset,dataset_protocol,method,beta,alpha_dir,seed,aggregation,model_attack,reported_utility,metric_accuracy,metric_balanced_accuracy,metric_f1,metric_false_negatives,metric_false_positives,metric_false_positives_per_10000_benign,metric_fpr,metric_pr_auc,metric_precision,metric_recall,metric_roc_auc,metric_threshold,metric_true_negatives,metric_true_positives,comm_E2E_broadcast,comm_E2E_unicast,comm_aggregation_seconds,comm_downlink_broadcast,comm_downlink_unicast,comm_empty_rounds,comm_full_candidate_airtime_us,comm_max_client_seconds,comm_metadata_wire,comm_selected_airtime_us,comm_selected_uplink,comm_server_selection_seconds,comm_sum_client_CPU_seconds,comm_wall_clock_seconds
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Oracle-Score-Exact__seed123,CICIDS2017,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.4,1.0,123,FedAvg,clean,honest,0.7641340931141162,0.5009257857689132,0.008791885090061872,89432,761,26.011847182961386,0.0026011847182961386,0.19247007639809344,0.34453057708871665,0.00445275625612254,0.43298329468324337,0.49,291798,400,9280394,27716678,0.013974499990581535,2048476,20484760,0,48228608.0,5.257042600002023,25500,18781070.0,7206418,0.02692199999000877,42.015443100230186,59.383310399993206
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Oracle-Score-Exact__seed2026,CICIDS2017,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.4,1.0,2026,FedAvg,clean,honest,0.7645420525064659,0.5001510388044785,0.002879386912079028,89702,335,11.450681742827943,0.0011450681742827943,0.16745413659094455,0.27956989247311825,0.0014471457832398254,0.32016266395112264,0.53,292224,130,9265313,27709670,0.014405599984456785,2049373,20493730,0,48041385.0,4.798673099983716,25500,19282177.0,7190440,0.032106600017868914,36.53650669992203,53.86501149997639
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Oracle-Score-Exact__seed2027,CICIDS2017,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.4,1.0,2027,FedAvg,clean,honest,0.759105209066113,0.49659405246190513,0.0027929936995258406,89703,2413,82.47908968789201,0.008247908968789202,0.19073923863137635,0.050747442958300554,0.0014360138925995191,0.2770029994347181,0.19,290146,129,8356007,26789789,0.012414599972544238,2048198,20481980,0,48164721.0,5.252702499929001,25500,19155005.0,6282309,0.021115300012752414,39.80456229999254,57.31801649999397
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Oracle-Score-Exact__seed2718,CICIDS2017,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.4,1.0,2718,FedAvg,clean,honest,0.7641367082384262,0.500001841623423,0.00353544281421248,89672,520,17.774192556031434,0.0017774192556031434,0.1780195533587373,0.23529411764705882,0.0017811025024490159,0.3760658032182068,0.56,292039,160,9368248,27796549,0.015310800008592196,2047589,20475890,0,47980861.0,5.3811370999901555,25500,23214342.0,7295159,0.026691599952755496,42.34546729987778,59.79499079994275
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Oracle-Score-Exact__seed314,CICIDS2017,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.4,1.0,314,FedAvg,clean,honest,0.7643563786804606,0.5000644077542366,0.0030756975637820016,89693,415,14.185172905294317,0.0014185172905294317,0.16958531670853738,0.2509025270758123,0.0015473327990025826,0.33222429709207135,0.51,292144,139,8912678,27346289,0.01356639999721665,2048179,20481790,0,47439612.0,5.288941900013015,25500,20082557.0,6838999,0.02428340000915341,39.95359099999769,57.39662120000867
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Oracle-Score-Exact__seed3407,CICIDS2017,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.4,1.0,3407,FedAvg,clean,honest,0.7644949802688871,0.5001048482255264,0.0027904813580342607,89706,349,11.929217696259558,0.0011929217696259558,0.18069841204052228,0.26526315789473687,0.0014026182206786,0.37457050999795277,0.8,292210,126,9256897,27690661,0.014852199965389445,2048196,20481960,0,47963836.0,5.00894509992213,25500,24024046.0,7183201,0.0262226999620907,39.670686199955526,57.05576969998947
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Oracle-Score-Exact__seed42,CICIDS2017,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.4,1.0,42,FedAvg,clean,honest,0.764973548017605,0.5004638883123568,0.0030616319829613525,89694,178,6.084242836487683,0.0006084242836487683,0.1830159988129124,0.43670886075949367,0.0015362009083622762,0.3966278137112956,0.75,292381,138,9481112,27913211,0.015624399980879389,2048011,20480110,0,48384597.0,5.2285894000087865,25500,16517846.0,7407601,0.029851599989342503,39.86093169990636,56.729140000010375
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Oracle-Score-Exact__seed777,CICIDS2017,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.4,1.0,777,FedAvg,clean,honest,0.7650336958767335,0.5013131431749757,0.007686785576232812,89484,365,12.476115928752833,0.0012476115928752832,0.19819779743772298,0.48807854137447404,0.0038738979428266096,0.4465564199488544,0.7,292194,348,9522125,27957743,0.01522500003920868,2048402,20484020,0,48642714.0,5.315061200031778,25500,21314776.0,7448223,0.02385480001976248,41.68700750026619,58.91409879998537
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Oracle-Score-Exact__seed9001,CICIDS2017,CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.4,1.0,9001,FedAvg,clean,honest,0.764976163141915,0.5004925955877386,0.0032164683177870698,89687,184,6.289329673672661,0.0006289329673672661,0.18407349836532855,0.44072948328267475,0.0016141241428444207,0.4027395112909371,0.73,292375,145,9489450,27928200,0.014072899968596175,2048750,20487500,0,48415388.0,5.226569199963706,25500,18428918.0,7415200,0.026362000033259392,40.566291299823206,58.115405900010956
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Random-Budget__seed11,CICIDS2017,CICIDS2017_COVERAGE_R1,Random-Budget,0.4,1.0,11,FedAvg,clean,honest,0.7650781529900024,0.5007559501153479,0.0043447419755275754,89636,196,6.699503348042617,0.0006699503348042617,0.22199440467208667,0.5,0.0021818505655000447,0.5072115351782565,0.87,292363,196,9298597,27751288,0.013920500001404434,2050299,20502990,0,48358593.0,5.1265126999496715,23100,20365407.0,7225198,0.0037367999902926385,40.0913974000141,57.39285160010331
heterogeneity,HET__CICIDS2017_COVERAGE_R1__a1.0__Random-Budget__seed123,CICIDS2017,CICIDS2017_COVERAGE_R1,Random-Budget,0.4,1.0,123,FedAvg,clean,honest,0.7644034509180394,0.5038942057982718,0.024345339946717493,88708,1382,47.238334831606615,0.004723833483160662,0.1980463835395423,0.4485235434956105,0.012512245079704337,0.43846672743573445,0.51,291177,1124,8991181,27432865,0.01356040000973735,2049076,20490760,0,47513032.0,5.280693600070663,23100,17799343.0,6919005,0.0034966000239364803,42.672296399992774,60.14241860002221
