dataset,method,beta,proxy,round_observations,seeds_with_defined_correlation,pooled_pearson_r,pooled_pearson_p,pooled_spearman_rho,pooled_spearman_p,mean_seed_pearson_r,seed_pearson_ci_low,seed_pearson_ci_high,mean_seed_spearman_rho,seed_spearman_ci_low,seed_spearman_ci_high,interpretation_boundary
CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,1.0,proxy_sum,300,10,0.17641519476882767,0.0021626645187975426,0.33736897480203026,2.0261293665619307e-09,0.2505913056925063,-0.031650979871336256,0.536895037035478,0.3338581367624126,0.16445823203747623,0.5051870674820411,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Oort-Style-Adapted,1.0,proxy_mean,300,10,0.20164809826780775,0.00044102411970687596,0.41807817450233825,4.025147983119063e-14,0.31149565487608655,0.07296995371369318,0.5425640639083888,0.4021050072312411,0.2580783109019864,0.5375322996452703,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.1,proxy_sum,300,10,-0.20033847004777997,0.0004813338649831665,0.033403390527160126,0.5644061826582707,0.051772154826603856,-0.2858442344608708,0.40077959172166117,0.0482613379195388,-0.21696487358786679,0.2959451121180753,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.1,proxy_mean,300,10,-0.20033847004777997,0.0004813338649831665,0.033403390527160126,0.5644061826582707,0.051772154826603856,-0.28601059984538146,0.40298600835098597,0.0482613379195388,-0.21285072048101772,0.29676820438772594,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.2,proxy_sum,300,10,-0.3209637017427626,1.2912320086799411e-08,-0.06824255119335966,0.23862304602629295,-0.04075139390463222,-0.34487875273277024,0.2638165145127,0.026477914644525556,-0.2185094549499443,0.2538084021501821,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.2,proxy_mean,300,10,-0.2797022411296165,8.52418216647185e-07,-0.04726120229362715,0.414713749621501,0.010537881068661225,-0.31560949935060506,0.32610585493875055,0.06616755657325264,-0.18273246103963264,0.28365991848577105,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.4,proxy_sum,300,10,0.0631052666060788,0.2759164568519458,0.34443212578632293,8.82117486945065e-10,0.37300996957921534,0.08860591450958798,0.6159075995988683,0.3162056955362192,0.08555728587319242,0.5261043344038376,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.4,proxy_mean,300,10,0.06375960329728961,0.2709580761456234,0.3587653993412014,1.5289964354888127e-10,0.3648882011590007,0.11094243004090411,0.5982889388505261,0.33404705914240196,0.1209034532631196,0.5289011236889457,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.6,proxy_sum,300,10,0.4202504939997756,2.881692436490096e-14,0.3994462160690674,6.418013218468353e-13,0.47369929488786855,0.29216094114415203,0.6407431245827391,0.37699666295884315,0.18860956618464958,0.5401134593993325,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
CICIDS2017_COVERAGE_R1,Oracle-Score-Exact,0.6,proxy_mean,300,10,0.3964012212846229,9.92915655989354e-13,0.4507032300358893,2.048940138008349e-16,0.5100197068912384,0.3422624761285063,0.6597608953676698,0.43301446051167963,0.28662958843159064,0.5758442714126804,descriptive proxy-validity diagnostic; actual gain is post-aggregation validation J gain at threshold 0.5
